#,Stadium,Capacity,City,coordinates,built_in
1,Teddy,31733,Jerusalem,"31.751098227662272,35.19086643651634",1990
2,Sammy Ofer,30858,Haifa,"32.783144597224776,34.96535386678275",2014
3,Bloomfield,29400,Tel Aviv,"32.05174727265509,34.761585446787514",1962
4,Turner,16126,Be'er Sheva,"31.27359493104871,34.77937313773257",2015
5,Netanya,13800,Netanya,"32.294515253117616,34.86460536148608",2012
6,Ramat Gan,41583,Ramat Gan,"32.10062050377579,34.824474965285226",1950
7,HaMoshava,11500,Petah Tikva,"32.104521021410605,34.86529951747677",2011
8,Doha,8500,Sakhnin,"32.866698081144584,35.31088068308935",2006
9,Herzliya,8100,Herzliya,"32.1680853219735,34.82507313619293",1983
10,Winter,8000,Ramat Gan,"32.04541086424829,34.81547504446675",1981
11,Yud-Alef,7800,Ashdod,"31.81046117192791,34.64853381748185",1966
12,HaShalom,7000,Umm al-Fahm,"32.53327668967111,35.15557499869199",1995
13,Haberfeld,6000,Rishon LeZion,"31.97496569710864,34.752984515632804",1995
14,Levita,5800,Kfar Saba,"32.18088700636478,34.926940146310685",1986
15,Kiryat Shmona Municipal,5300,Kiryat Shmona,"33.208145231027366,35.57598348677594",1989
16,Sala,5250,Ashkelon,"31.665699186819555,34.56949873097881",1961
17,Green,5200,Nof HaGalil,"32.68984217563289,35.311492159796245",1965
18,Acre Municipal,5500,Acre,"32.90788340858196,35.08610948150621",2011
19,Daliyat al-Karmel Municipal,5000,Daliyat al-Karmel,"32.68771007747654,35.05699695412607",
20,Ilut,4932,Nazareth,"32.72096469295434,35.2657700416895",1992
22,Grundman,4700,Ramat HaSharon,"32.12881069914957,34.85870228043296",1998
23,Hatikva Neighborhood,4020,Tel Aviv,"32.049860310714365,34.78702917685726",1951
24,Hebrew University,4000,Jerusalem,"31.776027509646664,35.20006758462785",1958
25,Ness Ziona,3500,Ness Ziona,"31.915516741152345,34.77535197515053",2001
26,Holon Municipal,3500,Holon,"32.00277756380897,34.75792288310463",
27,Bat Yam Municipal,3100,Bat Yam,"32.00090026001858,34.74841897514911",1991
28,Afula Illit,3000,Afula,"32.62750162481126,35.31705571562143",2009
29,HaLohamim,3000,Holon,"32.03044291871371,34.77318619378104",
30,Lod Municipal,3000,Lod,"31.939212751745384,34.89311317772497",1960
31,Vasermil,13000,Be'er Sheva,"31.253830934882036, 34.78597923425127",1959
32,Sar-Tov,7500,Netanya,"32.3339389037981, 34.86219539989282",1943
33,Giv'at Napoleon,5000,Acre,"32.90791501467853, 35.08607102330915",2011
34,Kiryat Eliezer,14000,Haifa,"32.82733101552625, 34.98127863561028",1955
