club,home_stadium
Maccabi Tel Aviv,Bloomfield
Hapoel Ra'anana,Ramat Gan
Maccabi Netanya,Netanya
Hapoel Hadera,Netanya
Maccabi Petah Tikva,HaMoshava
Hapoel Tel Aviv,Bloomfield
Bnei Yehuda,Bloomfield
Beitar Jerusalem,Teddy
Hapoel Beer Sheva,Turner
Maccabi Haifa,Sammy Ofer
Hapoel Haifa,Sammy Ofer
Bnei Sakhnin,Doha
Hapoel Acre,Acre Municipal
Ironi Kiryat Shmona,Kiryat Shmona Municipal
Ashdod,Yud-Alef
Hapoel Kfar Saba,Levita
Hapoel Ashkelon,Sala
Sektzia Nes Tziona,HaMoshava
Hapoel Katamon Jerusalem,Teddy
Hapoel Nazareth Illit,Green
