,#,Stadium,Capacity,City,Coordinates,Built in,Home team 1,Home team 2,Home team 3
0,1,Teddy,"31,733",Jerusalem,"31.751098227662272, 35.19086643651634",1990.0,Beitar Jerusalem,Hapoel Jerusalem,
1,2,Sammy Ofer,"30,858",Haifa,"32.783144597224776, 34.96535386678275",2014.0,Hapoel Haifa,Maccabi Haifa,
2,3,Bloomfield,"29,400",Tel Aviv,"32.05174727265509, 34.761585446787514",1962.0,Maccabi Tel Aviv,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv
3,4,Turner,"16,126",Be'er Sheva,"31.27359493104871, 34.77937313773257",2015.0,Hapoel Be'er Sheva,,
4,5,Netanya,"13,610",Netanya,"32.294515253117616, 34.86460536148608",2012.0,Maccabi Netanya,Hapoel Hadera,
5,6,Ramat Gan,"13,370",Ramat Gan,"32.10062050377579, 34.824474965285226",1950.0,Hapoel Ramat Gan,,
6,7,HaMoshava,"11,500",Petah Tikva,"32.104521021410605, 34.86529951747677",2011.0,Hapoel Petah Tikva,Maccabi Petah Tikva,
7,8,Doha,"8,500",Sakhnin,"32.866698081144584, 35.31088068308935",2006.0,Bnei Sakhnin,,
10,11,Yud-Alef,"7,800",Ashdod,"31.81046117192791, 34.64853381748185",1966.0,F.C. Ashdod,,
13,14,Levita,"5,800",Kfar Saba,"32.18088700636478, 34.926940146310685",1986.0,Beitar Kfar Saba,Hapoel Kfar Saba,
14,15,Kiryat Shmona Municipal,"5,300",Kiryat Shmona,"33.208145231027366, 35.57598348677594",1989.0,Hapoel Ironi Kiryat Shmona,,
15,16,Sala,"5,250",Ashkelon,"31.665699186819555, 34.56949873097881",1961.0,Hapoel Ashkelon,,
16,17,Green,"5,200",Nof HaGalil,"32.68984217563289, 35.311492159796245",1965.0,Hapoel Nof Hagalil,,
17,18,Acre Municipal,"5,000",Acre,"32.90788340858196, 35.08610948150621",2011.0,Hapoel Acre,Ahi Acre,Maccabi Ironi Acre
26,28,Afula Illit,"3,000",Afula,"32.62750162481126, 35.31705571562143",2009.0,Hapoel Afula,Ironi Tiberias,
28,30,Lod Municipal,"3,000",Lod,"31.939212751745384, 34.89311317772497",1960.0,Hapoel Lod,Hapoel Bnei Lod,
